level,start_date,end_date,lower_age_limit,geography,geography_code,proportion_pos,proportion_pos_high_95,proportion_pos_low_95,population
age_school,2020-08-14,2020-08-14,2,England,E92000001,3e-4,9e-4,1e-4,6254603
age_school,2020-08-14,2020-08-14,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-14,2020-08-14,16,England,E92000001,4e-4,0.0011,1e-4,5950637
age_school,2020-08-14,2020-08-14,25,England,E92000001,5e-4,0.0012,2e-4,7596145
age_school,2020-08-14,2020-08-14,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-14,2020-08-14,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-14,2020-08-14,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-15,2020-08-15,2,England,E92000001,4e-4,0.001,1e-4,6254603
age_school,2020-08-15,2020-08-15,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-15,2020-08-15,16,England,E92000001,4e-4,0.0012,1e-4,5950637
age_school,2020-08-15,2020-08-15,25,England,E92000001,5e-4,0.0012,2e-4,7596145
age_school,2020-08-15,2020-08-15,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-15,2020-08-15,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-15,2020-08-15,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-16,2020-08-16,2,England,E92000001,4e-4,0.001,1e-4,6254603
age_school,2020-08-16,2020-08-16,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-16,2020-08-16,16,England,E92000001,4e-4,0.0012,1e-4,5950637
age_school,2020-08-16,2020-08-16,25,England,E92000001,5e-4,0.0013,2e-4,7596145
age_school,2020-08-16,2020-08-16,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-16,2020-08-16,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-16,2020-08-16,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-17,2020-08-17,2,England,E92000001,4e-4,0.0011,2e-4,6254603
age_school,2020-08-17,2020-08-17,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-17,2020-08-17,16,England,E92000001,5e-4,0.0013,2e-4,5950637
age_school,2020-08-17,2020-08-17,25,England,E92000001,6e-4,0.0013,2e-4,7596145
age_school,2020-08-17,2020-08-17,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-17,2020-08-17,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-17,2020-08-17,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-18,2020-08-18,2,England,E92000001,4e-4,0.0011,2e-4,6254603
age_school,2020-08-18,2020-08-18,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-18,2020-08-18,16,England,E92000001,5e-4,0.0013,2e-4,5950637
age_school,2020-08-18,2020-08-18,25,England,E92000001,6e-4,0.0013,2e-4,7596145
age_school,2020-08-18,2020-08-18,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-18,2020-08-18,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-18,2020-08-18,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-19,2020-08-19,2,England,E92000001,5e-4,0.0011,2e-4,6254603
age_school,2020-08-19,2020-08-19,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-19,2020-08-19,16,England,E92000001,5e-4,0.0014,2e-4,5950637
age_school,2020-08-19,2020-08-19,25,England,E92000001,6e-4,0.0013,2e-4,7596145
age_school,2020-08-19,2020-08-19,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-19,2020-08-19,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-19,2020-08-19,70,England,E92000001,2e-4,4e-4,1e-4,7679719
age_school,2020-08-20,2020-08-20,2,England,E92000001,5e-4,0.0011,2e-4,6254603
age_school,2020-08-20,2020-08-20,11,England,E92000001,2e-4,7e-4,1e-4,3370248
age_school,2020-08-20,2020-08-20,16,England,E92000001,6e-4,0.0014,2e-4,5950637
age_school,2020-08-20,2020-08-20,25,England,E92000001,6e-4,0.0014,3e-4,7596145
age_school,2020-08-20,2020-08-20,35,England,E92000001,3e-4,7e-4,1e-4,10853151
age_school,2020-08-20,2020-08-20,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-20,2020-08-20,70,England,E92000001,2e-4,5e-4,1e-4,7679719
age_school,2020-08-21,2020-08-21,2,England,E92000001,5.499999999999999e-4,0.00115,2e-4,6254603
age_school,2020-08-21,2020-08-21,11,England,E92000001,2.5e-4,7e-4,1e-4,3370248
age_school,2020-08-21,2020-08-21,16,England,E92000001,6.5e-4,0.00145,2.5e-4,5950637
age_school,2020-08-21,2020-08-21,25,England,E92000001,6.5e-4,0.0013,3e-4,7596145
age_school,2020-08-21,2020-08-21,35,England,E92000001,3.5e-4,7e-4,1.5000000000000001e-4,10853151
age_school,2020-08-21,2020-08-21,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-21,2020-08-21,70,England,E92000001,2e-4,5e-4,1e-4,7679719
age_school,2020-08-22,2020-08-22,2,England,E92000001,5.499999999999999e-4,0.0012,2.5e-4,6254603
age_school,2020-08-22,2020-08-22,11,England,E92000001,2.5e-4,7e-4,1e-4,3370248
age_school,2020-08-22,2020-08-22,16,England,E92000001,6.5e-4,0.0015500000000000002,2.5e-4,5950637
age_school,2020-08-22,2020-08-22,25,England,E92000001,6.5e-4,0.00135,3e-4,7596145
age_school,2020-08-22,2020-08-22,35,England,E92000001,3.5e-4,6.5e-4,1.5000000000000001e-4,10853151
age_school,2020-08-22,2020-08-22,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-22,2020-08-22,70,England,E92000001,2e-4,5e-4,1e-4,7679719
age_school,2020-08-23,2020-08-23,2,England,E92000001,6e-4,0.0012,2.5e-4,6254603
age_school,2020-08-23,2020-08-23,11,England,E92000001,2.5e-4,7e-4,1e-4,3370248
age_school,2020-08-23,2020-08-23,16,England,E92000001,7e-4,0.0015500000000000002,3e-4,5950637
age_school,2020-08-23,2020-08-23,25,England,E92000001,6.5e-4,0.00135,3.5e-4,7596145
age_school,2020-08-23,2020-08-23,35,England,E92000001,3.5e-4,6.5e-4,1.5000000000000001e-4,10853151
age_school,2020-08-23,2020-08-23,50,England,E92000001,2e-4,4e-4,1e-4,13618246
age_school,2020-08-23,2020-08-23,70,England,E92000001,2.5e-4,5e-4,1e-4,7679719
